2026-02-27 21:39:35.844 [main] INFO  c.g.a.AuthzServiceApplication - Starting AuthzServiceApplication using Java 21.0.7 with PID 53287 (/Users/gaoshijie/u_Document/cloud-based-color-grading/cloud-based-color-grading/java/cloud-based-color-grading/authz-service/target/classes started by gaoshijie in /Users/gaoshijie/u_Document/cloud-based-color-grading/cloud-based-color-grading/java/cloud-based-color-grading)
2026-02-27 21:39:35.847 [main] INFO  c.g.a.AuthzServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-27 21:39:36.187 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-27 21:39:36.187 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-02-27 21:39:36.204 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2026-02-27 21:39:36.316 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=7a555bad-ad72-3e82-969a-2c5f14a96e50
2026-02-27 21:39:36.467 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-02-27 21:39:36.472 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-27 21:39:36.472 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2026-02-27 21:39:36.505 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-27 21:39:36.505 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 641 ms
2026-02-27 21:39:36.577 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-02-27 21:39:37.050 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@ca546a1
2026-02-27 21:39:37.052 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-02-27 21:39:37.116 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class cn.gsjgsj.common.entity.MenuPermission ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-02-27 21:39:37.247 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class cn.gsjgsj.common.entity.RolePermission ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-02-27 21:39:37.252 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class cn.gsjgsj.common.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-02-27 21:39:37.417 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path ''
2026-02-27 21:39:37.422 [main] INFO  c.g.a.AuthzServiceApplication - Started AuthzServiceApplication in 1.804 seconds (process running for 2.139)
2026-02-27 21:41:05.979 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-02-27 21:41:05.983 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
